date,value
2005-01-31,200172.0822
2005-01-31,163518
2005-01-31,266738.2495
2005-01-31,269951.9186
2005-01-31,210907.153
2005-01-31,249330.1139
2005-01-31,206796.4667
2005-01-31,239895.3044
2005-02-28,164998
2005-02-28,154467
2005-02-28,142660
2005-02-28,221053.3766
2005-02-28,131003
2005-02-28,157904
2005-02-28,138166.0686
2005-02-28,92635
2005-02-28,229305
2005-02-28,107541
2005-02-28,135347
2005-02-28,149117
2005-02-28,167057
2005-02-28,77673
2005-02-28,111214
2005-02-28,182060
2005-02-28,164479
2005-02-28,268823.2201
2005-02-28,272387.6498
2005-02-28,212475.2968
2005-02-28,251222.5852
2005-02-28,208382.1361
2005-02-28,240803.3084
2005-03-31,165721
2005-03-31,154150
2005-03-31,144692
2005-03-31,222203.3072
2005-03-31,102465
2005-03-31,110884
2005-03-31,131593
2005-03-31,160250
2005-03-31,140814.4228
2005-03-31,82962
2005-03-31,149221
2005-03-31,92001
2005-03-31,231325
2005-03-31,107379
2005-03-31,135080
2005-03-31,149836
2005-03-31,166984
2005-03-31,185626
2005-03-31,78533
2005-03-31,112159
2005-03-31,184824
2005-03-31,166231
2005-03-31,271098.5158
2005-03-31,275292.4686
